mise_tool,command,version_probe_arguments
node,node,--version
op,op,--version
npm:@openai/codex,codex,--version
aqua:atuinsh/atuin,atuin,--version
aqua:aristocratos/btop,btop,--version
aqua:sharkdp/bat,bat,--version
aqua:eza-community/eza,eza,--version
aqua:sharkdp/fd,fd,--version
aqua:junegunn/fzf,fzf,--version
aqua:cli/cli,gh,--version
aqua:dandavison/delta,delta,--version
aqua:jqlang/jq,jq,--version
aqua:neovim/neovim,nvim,--version
aqua:BurntSushi/ripgrep,rg,--version
aqua:starship/starship,starship,--version
aqua:ajeetdsouza/zoxide,zoxide,--version
